Title,Link,Description,Publication Date,Category
"Pakistan to privatise all state-owned firms, except strategic enterprises: PM Sharif",https://www.thehindu.com/news/international/pakistan-to-privatise-all-state-owned-enterprises-except-strategic-enterprises-pm-sharif/article68174406.ece,"Pakistan to privatise all state-owned enterprises, including Pakistan International Airlines, to tackle financial crunch and economic stability","Tue, 14 May 2024 16:41:46 +0530",World
"Joe Biden sharply hikes U.S. tariffs on Chinese chips, cars to woo voters in election year",https://www.thehindu.com/news/international/joe-biden-sharply-hikes-us-tariffs-on-chinese-chips-cars-to-woo-voters-in-election-year/article68174399.ece,"The White House cited ""unacceptable risks"" to U.S. ""economic security"" posed what it considers unfair Chinese practices that are flooding global markets with cheap goods","Tue, 14 May 2024 16:15:56 +0530",World
Wholesale inflation hit a 13-month high in April ,https://www.thehindu.com/business/Economy/wholesale-price-inflation-rises-to-126-in-april/article68173899.ece," Prices of food articles rise at the fastest pace in four months; potatoes and onions surge 72% and 60%, respectively, lifting vegetables inflation to 23.6%","Tue, 14 May 2024 12:34:18 +0530",Economy
Food inflation scaled 4-month peak of 8.7% in April,https://www.thehindu.com/business/Economy/retail-inflation-eases-to-483-in-april/article68171122.ece,"Consumer inflation stood at 4.83% last month, but was over the 5% mark in at least a dozen States ","Mon, 13 May 2024 18:00:02 +0530",Economy
"FPIs withdraw ₹17,000 crore from equities in May on political uncertainty amid general election",https://www.thehindu.com/business/Economy/fpis-withdraw-17000-crore-from-equities-in-may-on-political-uncertainty-amid-general-election/article68167319.ece,"This was way higher than a net withdrawal of ₹8,700 crore in the entire April on concerns over a tweak in India's tax treaty with Mauritius and a sustained rise in U.S. bond yields","Sun, 12 May 2024 12:14:56 +0530",Economy
"BPCL mulls investing ₹1.7 lakh cr. in core, new energy units",https://www.thehindu.com/business/Economy/bpcl-mulls-investing-17-lakh-cr-in-core-new-energy-units/article68161913.ece,,"Fri, 10 May 2024 22:12:59 +0530",Economy
Industrial output slows to 4.9% in March,https://www.thehindu.com/business/Economy/industrial-output-growth-slows-to-49-in-march-from-56/article68161371.ece,Uneven consumption was the weakest link last year and is key monitorable in 2024-25; output contracted in 10 of 23 manufacturing segments,"Fri, 10 May 2024 18:08:39 +0530",Economy
India received $111 billion in remittances in 2022: World Migration Report 2024,https://www.thehindu.com/business/Economy/india-received-111-billion-in-remittances-in-2022-world-migration-report-2024/article68153339.ece,"India was way ahead of its closely ranked peers Mexico ($61.1 billion), China ($51 billion), Philippines ($38.05 billion) and France ($30.04 billion). ","Thu, 09 May 2024 09:43:50 +0530",Economy
The socio-ecological effects of LPG price hikes,https://www.thehindu.com/sci-tech/energy-and-environment/the-socio-ecological-effects-of-lpg-price-hikes/article68154836.ece,"Devising locally acceptable, suitable, and sustainable alternatives to fuelwood is important to secure forests, wildlife, and locals’ livelihoods","Thu, 09 May 2024 08:30:00 +0530",Environment
"India received over $111 billion in remittances in 2022, first country to ever reach that figure: U.N. ",https://www.thehindu.com/business/Economy/india-received-over-111-billion-in-remittances-in-2022-first-country-to-ever-reach-that-figure-un/article68152229.ece,"The International Organisation for Migration, in its 2024 Report said that in 2022, India, Mexico, China, the Philippines and France were the top five remittance recipient countries","Wed, 08 May 2024 10:58:08 +0530",Economy
India Ratings raises FY25 GDP growth forecast to 7.1% from 6.5%,https://www.thehindu.com/business/Economy/india-ratings-pegs-2024-25-gdp-growth-at-71/article68146904.ece,,"Mon, 06 May 2024 21:52:19 +0530",Economy
Justice (Retd) Sanjay Kumar Mishra sworn in as first GST Tribunal President,https://www.thehindu.com/business/Economy/justice-retd-sanjay-kumar-mishra-sworn-in-as-first-gst-tribunal-president/article68146686.ece,"The Tribunal, established under the Central Goods and Services Tax Act, is expected to soon become functional, nearly seven years after the launch of the GST regime.","Mon, 06 May 2024 21:05:54 +0530",Economy
"GST has helped people with a pro-poor approach, says Nirmala Sitharaman",https://www.thehindu.com/business/Economy/gst-has-helped-people-with-a-pro-poor-approach-says-nirmala-sitharaman/article68146430.ece,The Union Finance Minister Nirmala Sitharaman attributes record gross GST collection of over ₹2 lakh crore to ‘heightened economic activity’,"Mon, 06 May 2024 20:22:25 +0530",Economy
Middlemen can actually help lower dal prices,https://www.thehindu.com/business/Economy/middlemen-can-actually-help-lower-dal-prices/article68145660.ece,The prices of pulses have risen significantly over the last year and the government has resorted to various measures to rein in prices. ,"Mon, 06 May 2024 17:43:42 +0530",Economy
India has ‘unexplored’ opportunities: Warren Buffett,https://www.thehindu.com/business/india-has-unexplored-opportunities-warren-buffett/article68144861.ece,"Warren Buffett sees ‘unexplored’ opportunities in India for Berkshire Hathaway, with potential for future investments in the market","Mon, 06 May 2024 13:14:31 +0530",Business
"April services activity eased, but orders, output record robust rise",https://www.thehindu.com/business/Economy/april-services-activity-eased-but-orders-output-record-robust-rise/article68144781.ece,Export orders grew at second-best pace in 10 years; Finance and Insurance services clock steepest growth,"Mon, 06 May 2024 12:07:37 +0530",Economy
"Cost of meals rose by 71% in five years, salaries by just 37%: Data",https://www.thehindu.com/data/cost-of-meals-rose-by-71-in-five-years-salaries-by-just-37-data/article68136011.ece,This disparity means that households with regular salaried people might be cutting back on spending on non-essential items or luxury products,"Mon, 06 May 2024 08:30:00 +0530",Data
Election Commission nod taken before lifting ban on onion exports: Govt sources,https://www.thehindu.com/business/agri-business/election-commission-nod-taken-before-lifting-ban-on-onion-exports-govt-sources/article68141887.ece,"The decision assumes importance as it comes before the crucial Lok Sabha polls in key onion belts like Nashik, Ahmednagar and Solapur in Maharashtra","Sun, 05 May 2024 12:45:08 +0530",Agri-Business
"FPIs take cautious approach amid ongoing general elections; inject ₹1,156 crore in May",https://www.thehindu.com/business/Economy/fpis-take-cautious-approach-amid-ongoing-general-elections-inject-1156-crore-in-may/article68141897.ece,"In the two days of trading in May, Foreign Portfolio Investors (FPIs) have invested ₹1,156 crore in equity and sold ₹1,726 crore in debt, data with the depositories showed","Sun, 05 May 2024 12:34:49 +0530",Economy
 Record breaking Q2 growth in India: Apple,https://www.thehindu.com/business/Economy/record-breaking-q2-growth-in-india-apple/article68136757.ece,,"Fri, 03 May 2024 22:11:05 +0530",Economy
Adani Green Q4 net declines 39% due to rising expenses,https://www.thehindu.com/business/Economy/adani-green-energy-q4-net-declines-39-to-310-cr-due-to-rising-expenses/article68136489.ece,,"Fri, 03 May 2024 20:34:01 +0530",Economy
"World food price index up for second month in April, says U.N. agency",https://www.thehindu.com/business/Economy/world-food-price-index-up-for-second-month-in-april-says-un-agency/article68135139.ece,"FAO reports rise in global food prices for second month, driven by meat, vegetable oils, and cereals","Fri, 03 May 2024 14:53:30 +0530",Economy
"India, Nigeria to increase cooperation in energy, UPI, local currency settlement to enhance economic ties",https://www.thehindu.com/business/Economy/india-nigeria-to-increase-cooperation-in-energy-upi-local-currency-settlement-to-enhance-economic-ties/article68135138.ece,"India and Nigeria aim to boost economic ties through cooperation in crude oil, natural gas, pharmaceuticals, UPI, and power sector","Fri, 03 May 2024 14:36:22 +0530",Economy
India’s venture capital market is upbeat this year: TVS Capital,https://www.thehindu.com/business/Economy/indias-venture-capital-market-is-upbeat-this-year-tvs-capital/article68133088.ece,,"Thu, 02 May 2024 22:43:45 +0530",Economy
RBI survey shows why livelihood issues are in focus in 2024 polls,https://www.thehindu.com/data/rbi-survey-shows-why-livelihood-issues-are-in-focus-in-2024-polls/article68105152.ece,"Close to 72% said income levels have decreased or stayed the same, while 90% said price levels have increased","Thu, 02 May 2024 17:00:00 +0530",Data
Satire | Whose wealth is it?,https://www.thehindu.com/society/sampath-column-allegedly-whose-wealth-is-it-satire/article68120927.ece,"Economics is not rocket science, so I’m going to clear the air on the redistribution debate","Thu, 02 May 2024 15:56:30 +0530",Society
India’s April manufacturing PMI sees second-best improvement in operating conditions in three-and-a-half years,https://www.thehindu.com/business/Economy/indias-april-manufacturing-pmi-sees-second-best-improvement-in-operating-conditions-in-three-and-a-half-years/article68131005.ece,"New orders, output grew at second-fastest pace in 40-odd months; firms ramped up hiring at moderate pace that was the highest since last September","Thu, 02 May 2024 11:46:56 +0530",Economy
Petrol sales up 12.3%; diesel slides 2.3% in April 2024,https://www.thehindu.com/business/Economy/petrol-sales-up-123-diesel-slides-23-in-april-2024/article68128610.ece,"Diesel is India's most consumed fuel, accounting for almost 40% of all petroleum product consumption. Diesel demand dropped 2.3% to 7 million tonnes. ","Wed, 01 May 2024 18:23:22 +0530",Economy
"In fresh high, gross GST revenues shoot past ₹2.1 lakh crore in April",https://www.thehindu.com/business/Economy/in-fresh-high-gross-gst-revenues-shoot-past-21-lakh-crore-in-april/article68127999.ece,"Record GST collections due to “strong momentum in the economy”, says Finance Minister; April’s GST revenues are usually the highest, as taxpayers meet compliance deadlines in March","Wed, 01 May 2024 13:37:55 +0530",Economy
Government cuts windfall tax on crude petroleum,https://www.thehindu.com/business/Economy/government-cuts-windfall-tax-on-crude-petroleum/article68127775.ece,"The SAED on the export of diesel, petrol and jet fuel or ATF, has been retained at nil","Wed, 01 May 2024 10:53:39 +0530",Economy
IOC shares decline more than 4% as Q4 net halves,https://www.thehindu.com/business/Economy/ioc-shares-decline-over-4-as-net-profit-halves-in-q4/article68125650.ece,,"Tue, 30 Apr 2024 19:56:20 +0530",Economy
"Amid debate about inheritance tax, rising share of personal income tax and indirect tax remains a concern",https://www.thehindu.com/data/amid-debate-about-inheritance-tax-rising-share-of-personal-income-tax-and-indirect-tax-remains-a-concern/article68122636.ece,"Recent data show that personal income tax collections have increased, while collections from corporate taxes have reduced","Tue, 30 Apr 2024 09:23:12 +0530",Data
Central Europe's rate-setters have pause for thought,https://www.thehindu.com/news/international/central-europes-rate-setters-have-pause-for-thought/article68123803.ece,Central Europe faces inflation rebound risks amid currency vulnerabilities and cautious rate easing approach by central banks,"Tue, 30 Apr 2024 07:50:00 +0530",World
‘India can lead on sustainability initiatives for entire Asia-Pacific’,https://www.thehindu.com/business/Economy/india-can-lead-on-sustainability-initiatives-for-entire-asia-pacific/article68122096.ece,,"Mon, 29 Apr 2024 22:11:03 +0530",Economy
"After nod for Gujarat onion exports, Centre seeks to soothe Maharashtra farmers",https://www.thehindu.com/business/Economy/after-nod-for-gujarat-onion-exports-centre-seeks-to-soothe-maharashtra-farmers/article68118688.ece,"Amid Opposition criticism, Consumer Affairs Ministry says 99,150 tonnes of exports have been allowed","Sun, 28 Apr 2024 22:22:01 +0530",Economy
China's share in India's industrial goods imports jump to 30% from 21% in last 15 years: GTRI,https://www.thehindu.com/business/Economy/chinas-share-in-indias-industrial-goods-imports-jump-to-30-from-21-in-last-15-years-gtri/article68117064.ece,"The Indian government and industries must evaluate and potentially recalibrate their import strategies, fostering more diversified and resilient supply chains, GTRI founder Ajay Srivastava said","Sun, 28 Apr 2024 12:02:29 +0530",Economy
Centre allows 99.5k tons of onion exports to 6 neighbouring nations,https://www.thehindu.com/business/agri-business/centre-allows-995k-tons-of-onion-exports-to-6-neighbouring-nations/article68113871.ece,"Centre allows export of 99,500 tonnes of onions from Maharashtra to six countries despite domestic ban","Sat, 27 Apr 2024 16:18:56 +0530",Agri-Business
