Title,Link,Description,Publication Date,Category,New_description
Chandrababu Naidu’s gesture brings ‘mega’ joy to aspiring teachers in Andhra Pradesh,https://www.thehindu.com/news/national/andhra-pradesh/chandrababu-naidus-gesture-brings-mega-joy-to-aspiring-teachers-in-state/article68286416.ece,"The Chief Minister’s first act upon assuming charge was to sign the file announcing the issuance of a notification to fill 16,347 teacher posts across the State, thus fulfilling a key election promise","Thu, 13 Jun 2024 22:28:41 +0530",Andhra Pradesh,"The Chief Minister’s first act upon assuming charge was to sign the file announcing the issuance of a notification to fill 16,347 teacher posts across the State, thus fulfilling a key election promise"
Water levels surge in Teesta river even as heavy rainfalls flood parts of north Bengal,https://www.thehindu.com/news/national/west-bengal/water-levels-surge-in-teesta-river-even-as-heavy-rainfalls-flood-parts-of-north-bengal/article68285033.ece,Authorities are on high alert across Darjeeling and Kalimpong amid heavy rainfall and landslides in Sikkim,"Thu, 13 Jun 2024 22:26:32 +0530",West Bengal,Authorities are on high alert across Darjeeling and Kalimpong amid heavy rainfall and landslides in Sikkim
"Priority in general transfers, postings for diabetic govt. employees ",https://www.thehindu.com/news/national/kerala/priority-in-general-transfer-postings-for-diabetic-govt-employees/article68282391.ece,,"Thu, 13 Jun 2024 22:24:25 +0530",Kerala,"Priority in general transfers, postings for diabetic govt. employees "
Kerala government honours Malayalam actors who shone at Cannes   ,https://www.thehindu.com/news/national/kerala/kerala-government-honours-malayalam-actors-who-shone-at-cannes/article68286490.ece,"Kani Kusruti, Divya Prabha, Hridhu Haroon, and Azees Nedumangad  honoured ","Thu, 13 Jun 2024 22:18:02 +0530",Kerala,"Kani Kusruti, Divya Prabha, Hridhu Haroon, and Azees Nedumangad  honoured "
"Rythu Sadhikara Samstha field staff refuse to work without pay; mission objective under threat, say officials  ",https://www.thehindu.com/news/national/andhra-pradesh/rythu-sadhikara-samstha-field-staff-refuse-to-work-without-pay-mission-objective-under-threat-say-officials/article68285859.ece,"About 9,000 field staff have not been paid their salaries for the last 15 months; diversion of ₹160 crore by previous govt. alleged","Thu, 13 Jun 2024 22:15:11 +0530",Andhra Pradesh,"About 9,000 field staff have not been paid their salaries for the last 15 months; diversion of ₹160 crore by previous govt. alleged"
Vizhinjam community skill park to be launched on June 15,https://www.thehindu.com/news/national/kerala/vizhinjam-community-skill-park-to-be-launched-on-june-15/article68286328.ece,,"Thu, 13 Jun 2024 22:11:11 +0530",Kerala,Vizhinjam community skill park to be launched on June 15
Man sentenced to life imprisonment for murder,https://www.thehindu.com/news/national/kerala/man-sentenced-to-life-imprisonment-for-murder/article68286262.ece,For murdering owner of the house where he was a tenant in 2012 ,"Thu, 13 Jun 2024 22:10:13 +0530",Kerala,For murdering owner of the house where he was a tenant in 2012 
Woman strangles three-year-old daughter and later surrenders to police in Bengaluru,https://www.thehindu.com/news/cities/bangalore/woman-strangles-three-year-old-daughter-and-later-surrenders-to-police-in-bengaluru/article68286340.ece,,"Thu, 13 Jun 2024 22:10:11 +0530",Bengaluru,Woman strangles three-year-old daughter and later surrenders to police in Bengaluru
KMRL to go ahead with Bliss City project in Kakkanad ,https://www.thehindu.com/news/national/kerala/kmrl-to-go-ahead-with-bliss-city-project-in-kakkanad/article68285472.ece,NBCC appointed as the implementing agency for the venture aimed at garnering non-fare revenue ,"Thu, 13 Jun 2024 22:09:06 +0530",Kerala,NBCC appointed as the implementing agency for the venture aimed at garnering non-fare revenue 
ED attaches ₹13.58-crore assets in Chinese national case,https://www.thehindu.com/news/national/ed-attaches-1358-crore-assets-in-chinese-national-case/article68285516.ece,Probe agency says he had opened clubs and hotels in the Delhi-NCR area for Chinese citizens who entered the country without any valid documents,"Thu, 13 Jun 2024 22:03:22 +0530",India,Probe agency says he had opened clubs and hotels in the Delhi-NCR area for Chinese citizens who entered the country without any valid documents
"Citizens happy with decision to keep parks open for longer hours, but suggest infrastructure improvement",https://www.thehindu.com/news/cities/bangalore/citizens-happy-with-decision-to-keep-parks-open-for-longer-hours-but-suggest-infrastructure-improvement/article68284837.ece,PLEASE ADD INTERN Maithreya Karthik BYLINE.,"Thu, 13 Jun 2024 21:56:50 +0530",Bengaluru,PLEASE ADD INTERN Maithreya Karthik BYLINE.
Toilet facility on train engine a distant dream for majority of loco pilots ,https://www.thehindu.com/news/national/kerala/toilet-facility-on-train-engine-a-distant-dream-for-majority-of-loco-pilots/article68286260.ece,,"Thu, 13 Jun 2024 21:54:01 +0530",Kerala,Toilet facility on train engine a distant dream for majority of loco pilots 
Kerala partners with IBM to host global conclave on Gen AI in Kochi ,https://www.thehindu.com/news/national/kerala/kerala-partners-with-ibm-to-host-global-conclave-on-gen-ai-in-kochi/article68286242.ece,Event to explore transformative potential of AI and its impact on society and economy,"Thu, 13 Jun 2024 21:52:51 +0530",Kerala,Event to explore transformative potential of AI and its impact on society and economy
